Country,Income Range,Region
Algeria,Upper middle income,Africa
Australia,High income,East Asia and Pacific
Austria,High income,Europe
"Bahamas, The",High income,Europe
Bangladesh,Lower middle income,Asia
Barbados,Upper middle income,Latin America and Caribbean
Belgium,High income,Europe
Belize,Upper middle income,Latin America and Caribbean
Benin,Low income,Sub-Saharan Africa
Bolivia,Lower middle income,Latin America and Caribbean
Botswana,Upper middle income,Africa
Burkina Faso,Low income,Sub-Saharan Africa
Burundi,Low income,Sub-Saharan Africa
Cameroon,Lower middle income,Sub-Saharan Africa
Canada,High income,North America
Chad,Low income,Sub-Saharan Africa
Chile,High income,Latin America and Caribbean
China,Upper middle income,East Asia and Pacific
Colombia,Upper middle income,Latin America and Caribbean
"Congo, Rep.",Lower middle income,Sub-Saharan Africa
Costa Rica,Upper middle income,Latin America and Caribbean
Denmark,High income,Europe
Dominican Republic,Upper middle income,Latin America and Caribbean
Ecuador,Upper middle income,Latin America and Caribbean
Eswatini,Upper middle income,Sub-Saharan Africa
Ethiopia,Low income,Sub-Saharan Africa
Fiji,Upper middle income,East Asia and Pacific
Finland,High income,Europe
France,High income,Europe and Central Asia
Gabon,Upper middle income,Africa
Germany,High income,Europe and Central Asia
Ghana,Lower middle income,Sub-Saharan Africa
Greece,High income,Europe
Guatemala,Lower middle income,Latin America and Caribbean
Guyana,Upper middle income,Latin America and Caribbean
Haiti,Low income,Latin America and Caribbean
Honduras,Lower middle income,Latin America and Caribbean
Iceland,High income,Europe
India,Lower middle income,Asia
"Iran, Islamic Rep. of",Upper middle income,Middle East and North Africa
Ireland,High income,Europe
Israel,High income,Middle East and North Africa
Italy,High income,Europe
Jamaica,Upper middle income,Latin America and Caribbean
Japan,High income,East Asia and Pacific
Kenya,Lower middle income,Sub-Saharan Africa
"Korea, Rep.",High income,East Asia and Pacific
Lesotho,Lower middle income,Sub-Saharan Africa
Liberia,Low income,Sub-Saharan Africa
Libya,Upper middle income,Middle East and North Africa
Luxembourg,High income,Europe
Madagascar,Low income,Sub-Saharan Africa
Malaysia,Upper middle income,East Asia and Pacific
Mauritius,Upper middle income,Africa
Mexico,Upper middle income,Latin America and Caribbean
Morocco,Lower middle income,Middle East and North Africa
Myanmar,Low income,Asia
Nepal,Low income,Asia
Netherlands,High income,Europe
New Zealand,High income,East Asia and Pacific
Niger,Low income,Sub-Saharan Africa
Nigeria,Lower middle income,Sub-Saharan Africa
Norway,High income,Europe
Pakistan,Lower middle income,Asia
Panama,Upper middle income,Latin America and Caribbean
Papua New Guinea,Upper middle income,East Asia and Pacific
Paraguay,Upper middle income,Latin America and Caribbean
Philippines,Lower middle income,East Asia and Pacific
Portugal,High income,Europe
Rwanda,Low income,Sub-Saharan Africa
Saudi Arabia,Upper middle income,Middle East and North Africa
Senegal,Lower middle income,Sub-Saharan Africa
Sierra Leone,Low income,Sub-Saharan Africa
Singapore,High income,East Asia and Pacific
South Africa,Upper middle income,Sub-Saharan Africa
Spain,High income,Europe
Sri Lanka,Upper middle income,Asia
St. Kitts and Nevis,Upper middle income,Latin America and Caribbean
St. Vincent and the Grenadines,Upper middle income,Latin America and Caribbean
Sudan,Low income,Sub-Saharan Africa
Suriname,Upper middle income,Latin America and Caribbean
Sweden,High income,Europe
Switzerland,High income,Europe
Syrian Arab Rep.,Lower middle income,Middle East and North Africa
Tanzania,Low income,Sub-Saharan Africa
Thailand,Upper middle income,East Asia and Pacific
Togo,Low income,Sub-Saharan Africa
Trinidad and Tobago,Upper middle income,Latin America and Caribbean
Turkey,Upper middle income,Middle East
Uganda,Low income,Sub-Saharan Africa
United Kingdom,High income,Europe
United States,High income,North America
Uruguay,Upper middle income,Latin America and Caribbean
Zambia,Lower middle income,Sub-Saharan Africa
