Algeria,Australia,Austria,Bahamas,Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Botswana,Burkina_Faso,Burundi,Cameroon,Canada,Chad,Chile,China,Colombia,Congo,Costa_Rica,Denmark,Dominica,Ecuador,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,Iceland,India,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kenya,Korea,Lesotho,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mauritius,Mexico,Morocco,Myanmar,Nepal,Netherlands,New_Zealand,Niger,Nigeria,Norway,Pakistan,Panama,Papua_New_Guinea,Paraguay,Philippines,Portugal,Rwanda,Saudi_Arabia,Senegal,Sierra_Leone,Singapore,South_Africa,Spain,Sri_Lanka,St_Kitts_and_Nevis,St_Vincent_and_the_Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,Tanzania,Thailand,Togo,Trinidad_and_Tobago,Turkey,Uganda,United_Kingdom,United_States,Uruguay,Zambia
-0.039772446,0.018993337,-0.109650996,-0.025276549,-0.009421135,-0.006116519,-0.129022386,-0.060691589,-0.094696801,0.058029554,-0.060598376,-0.093538445,-0.040754919,-0.065525318,-0.002734496,-0.11711605,0.02280364,-0.040861088,-0.018679897,0.012113731,-0.322924806,-0.106264768,-0.006977889,0.028962143,-0.036019452,-0.02697943,-0.044806177,-0.057536907,-0.105022171,-0.101794949,-0.121057216,-0.080759945,-0.085466713,-0.018714122,-0.071041753,-0.025517553,-0.051003411,-0.036739671,-0.039387328,-0.040027203,-0.073043084,-0.029825692,-0.090981119,-0.006126236,-0.006641493,-0.086941158,-0.005300976,-0.055348534,-0.062810827,-0.118736688,-0.123141498,-0.0968933,-0.048144619,-0.048273388,0.052715161,-0.144452825,-0.02474457,0.011920791,-0.124038922,-0.026174142,-0.122041036,0.349626141,-0.053096794,0.009708174,-0.002212131,-0.062985778,0.044283503,-0.016006795,-0.061959536,-0.011935323,-0.017755525,-0.098860691,-0.049108264,0.009354847,-0.039327306,-0.108808907,-0.012952852,0.028024838,0.044606977,0.016666793,0.001785262,-0.08607978,-0.086436107,0.014311931,0.003033264,-0.022949212,-0.131313347,-0.00185149,-0.039970853,-0.023733727,-0.065035739,0,-0.011383838,-0.045544325
-0.019987327,0.018653163,-0.0128343,0.021955466,-0.064580112,0.003334866,-0.06970688,-0.056398585,-0.034173231,-0.036979143,-0.055917657,-0.031168952,-0.005288119,-0.02456334,-0.008823056,-0.056149685,-0.267541744,-0.000405945,0.005826539,0.011531707,-0.028834849,-0.0240807,0.015308692,-0.064452108,-0.05268663,-0.008460176,-0.039464534,-0.01354509,-0.038720475,-0.053893944,-0.02674304,-0.046638728,0.001776599,-0.020107495,-0.087067786,-0.024292252,-0.003887906,-0.056948789,-0.007893125,0.062847688,-0.001516329,0.014592254,-0.017788538,0.023033723,-0.048270451,-0.057541497,0.010452366,-0.121268635,-0.017608513,-0.067287394,-0.054980744,-0.023923059,0.004934467,-0.04433535,-0.177863407,-0.027845967,0.102915899,-0.001846636,-0.031211607,-0.022832393,-0.059108456,-0.088057899,-0.022121854,0.006835853,0.019186987,-0.046083573,-0.042094433,-0.006938916,-0.036795741,-0.030453883,-0.11489036,-0.034222402,0.042013396,0.021817233,-0.060324262,-0.031437578,0.012598491,0.01433826,0.029892156,-0.120450288,-0.003122852,-0.068786555,-0.005836367,-0.006932017,-0.002509864,-0.001738722,-0.096871121,0.046590313,-0.066922131,0.187717708,-0.034999123,0,-0.09642242,-0.043017173
-0.013517573,-0.077386489,-0.026354819,0.000209532,-0.066254827,-0.007543422,-0.05594744,-0.019469898,-0.108040714,-0.056166077,0.014670594,-0.084369313,-0.014853333,-0.024693732,-0.000440898,-0.05485242,-0.020221022,0.012623955,-0.044823753,-0.054148712,0.037559751,-0.030217136,0.005766582,-0.108522645,-0.032243156,0.002006906,-0.069330136,-0.050037214,-0.053479862,-0.071960347,-0.034348675,-0.043456097,-0.078060899,-0.027691634,-0.024915391,0.000961802,-0.024306182,-0.102133775,-0.005591627,0.046427013,-0.049832715,0.007941536,-0.016596954,0.002281944,0.004914513,-0.079963414,0.010631748,0.000624026,-0.065924172,-0.059976979,-0.039727748,-0.053382251,0.010287118,-0.03141818,-0.113490862,-0.080292941,-0.070847722,-0.033228184,-0.047845555,-0.03549129,-0.094170371,-0.210499668,-0.040746191,-0.077716798,-0.030843274,-0.007142314,-0.024364528,-0.09131917,-0.083687808,-0.025960161,-0.127013347,-0.09482053,-0.155878333,0.005811429,0.005359759,-0.093672077,-0.003406537,-0.02592669,-0.003718562,-0.071518505,-0.049828681,-0.069479659,-0.03558848,-0.013670369,-0.042340989,-0.001759705,-0.077372173,-0.058026822,-0.059901533,-0.030606238,-0.0543187,0,-0.289264084,-0.112672608
-0.015132082,-0.009089334,-0.067594225,0.020813776,-0.02248275,-0.005975652,-0.061503332,-0.00441128,-0.072342155,0.005523867,-0.032743801,-0.094374578,-0.09270206,-0.02732356,-0.02760567,-0.004402633,-0.063118164,0.004188076,-0.057255482,-0.033437302,0.011666083,-0.052915038,0.048072225,-0.059164829,-0.106586236,-0.077417099,-0.031738854,-0.028276613,-0.06741562,-0.032500113,-0.066945776,-0.017370338,-0.056696837,-0.034171959,-0.089149585,-0.002049434,-0.014219046,-0.031398733,-0.064121784,-0.041365208,-0.058680548,-0.075508335,-0.047154627,-0.231242361,-0.019899885,-0.042956155,-0.001581184,-0.118707844,-0.042122532,-0.111172103,-0.050735008,-0.133183079,-0.005145957,-0.066788556,0.021388276,-0.092597681,-0.075976067,-0.029096052,-0.071553935,-0.095726333,-0.146373846,-0.173712078,-0.040175883,-0.019971605,-0.033385725,-0.052827673,-0.154476718,-0.076603259,-0.077136549,-0.025840396,-0.095700803,-0.064137071,-0.013150985,-0.004663296,-0.108549978,-0.040862364,0.020097576,0.015276657,-0.001375156,0.051796955,-0.055324474,-0.025390289,-0.063612592,-0.059195505,-0.092674502,-0.03188433,-0.084272443,-0.047315599,-0.065153304,0.154184421,-0.068360171,0,-0.066137785,-0.142104185
-0.009170448,-0.063116256,-0.018756961,0.019835993,0.032414041,-0.008735917,-0.012595906,-0.04093576,-0.042270395,-0.096278195,-0.089279501,-0.013276069,0.029512114,0.026956139,-0.020006681,0.019219083,-0.079191409,0.042431628,-0.076866129,-0.046937134,-0.009711348,-0.00223595,-0.398103655,-0.032375596,-0.180969377,0.029309985,-0.051418394,-0.005365231,-0.011675527,-0.067161993,-0.022020099,-0.028391313,-0.030905838,-0.02798524,-0.010085946,0.00766495,-0.009117248,-0.013068747,0.002606891,0.002729577,-0.003681562,-0.060457962,-0.013555338,-0.085872425,-0.004691298,-0.047281949,-0.015149778,-0.132743894,-0.038870755,-0.012505007,-0.014882659,-0.051154497,-0.076307778,-0.016367282,-0.010298667,-0.032788064,0.018651656,-0.030942437,-0.029641438,0.026465622,-0.046711558,-0.037710495,-0.005822671,-0.041680613,-0.012856565,-0.059302963,-0.176824931,-0.047265515,0.002910026,-0.008486068,-0.108619722,0.000223605,-0.140638977,-0.041244035,-0.159742627,-0.007593672,-0.038083472,0.026469482,0.003191799,-0.147510717,-0.028052505,-0.008984607,-0.023322504,-0.070588411,0.033354776,-0.066912723,-0.015257072,-0.054774615,0.01292295,-0.051425654,-0.002997601,0,-0.040432208,-0.12242506
0.007227024,-0.021313842,0.134811782,-0.000426147,-0.039717419,0.020424493,0.12381401,0.007863285,0.074232819,-0.161540066,0.062007424,0.086113768,-0.008459805,0.109392013,-0.008801112,-0.018025682,0.001982187,-0.038315557,-0.028118068,-0.099983986,0.020887334,0.127880609,0.05550616,-0.079504329,0.059726812,-0.015328032,0.024921268,0.098409567,0.1227898,-0.023153534,0.135182937,0.075457286,0.050638825,-0.15991349,0.029341978,0.033700817,-0.000202511,0.103514454,0.000593374,0.030321979,0.110707904,0.067164593,0.131641701,0.093858461,0.1501817,0.036898229,0.038235165,0.043588861,-0.037370808,-0.148137267,0.143161167,0.026694024,-0.083328145,0.110604853,-0.188871688,0.084465045,0.002010404,0.007543353,0.12316124,0.07412379,0.08858452,-0.159718641,0.059268504,-0.024400877,-0.012489693,0.009685652,0.0232051,-0.041861888,0.135178871,0.019278854,-0.11624336,0.117899428,-0.272694822,-0.032132518,0.022475336,0.122319244,0.004467019,0.054080814,0.021813575,0.068822116,-0.016361072,0.099716292,0.13470734,-0.125588426,-0.184124248,0.017002902,0.110903197,-0.212469427,0.022770897,0.014965513,0.069204183,0,0.072477334,-0.163834162
-0.014308684,-0.011727163,0.07644645,0.010720424,0.016440812,0.01988845,0.073218722,0.052794944,0.033542661,0.009973407,0.113211856,0.032522807,-0.057544078,0.00654695,0.030754612,0.000509729,0.042625627,-0.070558177,-0.013288596,0.059961256,-0.021986195,0.072157161,-0.052024457,-0.072971268,0.075988185,-0.006942576,-0.068080096,0.072668962,0.059302252,-0.049333619,0.071530967,-0.085074272,0.043182755,-0.042473013,-0.172036451,-0.084433324,0.003706924,0.114777912,0.018383414,-0.228923309,0.050818982,0.051160662,0.078197923,0.051449928,0.061803058,0.00505614,0.076759078,0.069837428,0.029385872,0.008917654,0.070719629,-0.16510425,0.030048828,0.084393109,0.01101039,0.018449744,-0.034708888,-0.014895814,0.062098335,0.095100214,0.034527494,-0.049902149,0.054723168,-0.017561078,-0.029203801,0.043607087,-0.00573449,0.014594712,0.073288294,0.007961675,-0.046972406,0.046125992,0.096059596,0.023314837,0.082573523,0.080596091,-0.009168326,0.034628782,0.015081634,0.04979148,0.014905263,0.06199779,0.073501953,-0.10451398,-0.177300127,0.039830226,0.036293186,-0.026542552,0.031244938,0.168635313,0.070630008,0,0.07393447,0.099672035
-0.093729145,0.059625771,0.001448309,-0.020704624,0.000684248,-0.002289559,0.005716945,0.017920307,-0.026131384,-0.013838165,0.085735223,0.002422723,-0.057637066,-0.07018996,0.035904117,0.061724434,0.03248781,0.022650347,-0.005420629,-0.057946013,-0.03239533,-0.005389078,-0.073096479,-0.068243724,0.024726497,-0.02992225,-0.060167912,0.045644328,0.006492302,0.026669978,0.002596008,-0.029305108,0.034589695,0.003195324,0.041176867,0.068227566,-0.06176162,0.008151786,-0.01187078,-0.079200541,0.019691111,0.051357032,0.014900019,0.033889475,0.052513763,-0.023625482,0.096893725,0.029719588,-0.0127135,-0.081593944,0.021760594,-0.044497464,-0.002168844,0.023070767,0.053909467,0.035184582,-0.042017068,0.03342961,-0.002785315,0.018712305,-0.032970788,-0.065825892,0.002766254,0.017939499,-0.1015598,0.02721839,-0.010891039,0.018699157,0.03954691,0.002731417,-0.034916922,-0.046147392,0.16303034,0.043894585,-0.011696259,0.042120608,-0.01595424,0.041967501,0.028057045,0.043615689,0.038990829,0.022588304,0.002084591,-0.074017342,-0.065902742,0.049931013,0.000942828,-0.061642987,-0.019512208,-0.026392105,0.057000387,0,0.01564087,0.175536013
-0.065856533,0.068124933,-0.03098133,-0.000509053,-0.00291142,0.015768626,-0.02472813,0.024115233,-0.074197517,-0.026386322,0.024781094,-0.039791421,-0.024107701,-0.087122298,0.010648125,-0.057441562,0.025246602,0.011721366,-0.033812614,-0.007337689,0.016766865,-0.040502513,0.057450358,-0.011556106,-0.042099078,-0.022364344,-0.005439509,0.008098311,-0.027771862,-0.002119983,-0.032324664,-0.034894265,-0.014278336,-0.009818308,-0.062330978,-0.017405755,-0.076477926,-0.065663769,-0.038486691,-0.04998918,-0.010011465,-0.037345659,-0.010906104,0.029256097,-0.03226583,-0.047068698,0.05987137,-0.014039323,-0.160930556,-0.024935224,-0.004820691,-0.042750679,0.000841734,-0.022046629,0.050453863,-0.025899653,0.080964123,-0.033263497,-0.036835454,-0.042599179,-0.06114279,-0.092037182,-0.026940402,-0.024146254,-0.036391773,-0.051349904,0.008261448,0.012579187,0.003927993,-0.038124112,-0.013189763,-0.044350176,-0.09256554,0.038447823,-0.026111664,0.013476545,-0.033288266,0.022407233,0.000110137,0.142097223,-0.365282716,-0.008749693,-0.047019568,-0.072839525,-0.102106745,0.03316311,-0.049408283,-0.049401675,0.034722752,-0.133403298,-0.021467996,0,-0.019336186,-0.009941731
0.017385287,-0.009184766,0.07464386,-0.0130643,0.012145714,-0.018061775,0.076563505,0.141228437,0.083119522,-0.014521038,0.057373235,0.043427925,-0.020946755,0.016194193,-0.00416029,0.052758697,0.017920876,-0.009494402,0.054491356,0.037237324,0.006314687,0.069980596,-0.003899676,0.010991797,0.170294598,-0.009039013,0.029787774,0.053882094,0.071452792,0.121797082,0.079663499,0.019331332,0.068425239,-0.07220499,0.002980888,0.025573886,-0.074088087,0.034493749,0.006655857,-0.020939232,0.079650187,0.040209134,0.084942327,-0.004488851,-0.010060959,-0.019031474,0.036328786,0.053640952,-0.27505458,0.030036111,0.080251943,0.060705948,0.022660596,0.062712905,0.044736632,0.032773013,-0.004417685,-0.017305911,0.068533046,-0.007877669,0.17464678,0.058614263,0.046473102,-0.03522991,0.007886505,-0.072629625,0.056064404,-0.011889782,0.09539893,-0.004406456,0.054005165,0.03314224,-0.193381902,0.038175223,0.034351236,0.092212596,0.035953853,0.037125404,0.0291374,0.17007045,-0.169019304,0.057168843,0.082582984,0.064131911,-0.046768319,0.045987224,0.048550482,0.046327805,0.120693715,-0.121605481,0.051194919,0,0.020297626,-0.11524341
