Algeria,Australia,Austria,"Bahamas, The",Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Botswana,Burkina Faso,Burundi,Cameroon,Canada,Chad,Chile,China,Colombia,"Congo, Rep.",Costa Rica,Denmark,Dominican Republic,Ecuador,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,Iceland,India,"Iran, Islamic Rep.",Ireland,Israel,Italy,Jamaica,Japan,Kenya,"Korea, Rep.",Lesotho,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mauritius,Mexico,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Philippines,Portugal,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Singapore,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tanzania,Thailand,Togo,Trinidad and Tobago,Turkiye,Uganda,United Kingdom,United States,Uruguay,Zambia
-0.745445325,-0.090532393,-0.063289369,-0.32368887,-1.764826227,-0.498306307,0.009875325,-0.9647373,-1.535391827,-1.209720671,-1.046300929,-1.655150767,-1.770604757,-1.205511602,-0.049964815,-1.729663707,-0.696110293,-1.809901313,-0.993651278,-1.129847973,-0.798215347,0.043010282,-1.029576282,-0.757499312,-1.142630648,-1.7970135,-0.828650972,-0.049355551,0.005618182,-0.342620806,-0.015342636,-1.525883478,-0.329115576,-1.04128726,-1.210117293,-1.710220336,-1.078172417,0.071400598,-1.672347154,-0.710396152,-0.29519519,-0.285850829,-0.172288624,-1.000975514,-0.11413063,-1.447415989,-0.865129716,-1.612978655,-1.453726356,0.041104128,0.118801351,-1.335079449,-0.831633893,-1.024921462,-0.617148087,-1.059031058,-2.607810206,-2.003513477,0.040122118,-0.226344869,-1.490591137,-1.154987532,0.098392609,-1.632052689,-0.727003011,-1.18570702,-0.939724767,-1.218106632,-0.572081432,-1.720893271,0.109375835,-1.201483366,-1.585224781,-0.406817834,-0.617390701,-0.30650865,-1.669232249,-0.898515637,-1.215215797,-1.467021258,-0.773294622,0.133440269,0.188163923,-0.932816093,-1.315743944,-1.249854147,-1.347099111,-0.356858408,-0.906093804,-2.127797224,-0.098110582,0,-0.562875677,-1.267775018
-0.785217771,-0.071539057,-0.172940365,-0.348965419,-1.774247362,-0.504422826,-0.119147061,-1.025428889,-1.630088628,-1.151691117,-1.106899305,-1.748689213,-1.811359676,-1.27103692,-0.052699311,-1.846779757,-0.673306653,-1.850762401,-1.012331175,-1.117734242,-1.121140153,-0.063254487,-1.036554171,-0.728537169,-1.178650099,-1.82399293,-0.87345715,-0.106892459,-0.099403989,-0.444415755,-0.136399853,-1.606643423,-0.414582288,-1.060001382,-1.281159045,-1.735737889,-1.129175828,0.034660927,-1.711734482,-0.750423355,-0.368238274,-0.315676521,-0.263269743,-1.007101751,-0.120772123,-1.534357147,-0.870430693,-1.668327189,-1.516537182,-0.077632561,-0.004340146,-1.431972749,-0.879778512,-1.07319485,-0.564432926,-1.203483883,-2.632554776,-1.991592686,-0.083916804,-0.25251901,-1.612632174,-0.805361391,0.045295815,-1.622344515,-0.729215143,-1.248692797,-0.895441264,-1.234113427,-0.634040968,-1.732828594,0.09162031,-1.300344057,-1.634333045,-0.397462987,-0.656718007,-0.415317557,-1.682185101,-0.870490799,-1.17060882,-1.450354465,-0.77150936,0.047360489,0.101727817,-0.918504163,-1.31271068,-1.272803359,-1.478412459,-0.358709898,-0.946064657,-2.151530951,-0.163146321,0,-0.574259515,-1.313319343
-0.805205098,-0.052885894,-0.185774664,-0.327009953,-1.838827474,-0.501087961,-0.18885394,-1.081827474,-1.66426186,-1.18867026,-1.162816962,-1.779858164,-1.816647796,-1.295600261,-0.061522367,-1.902929442,-0.940848397,-1.851168346,-1.006504636,-1.106202535,-1.149975002,-0.087335187,-1.021245479,-0.792989277,-1.23133673,-1.832453106,-0.912921683,-0.120437549,-0.138124464,-0.4983097,-0.163142893,-1.653282151,-0.41280569,-1.080108877,-1.368226832,-1.760030141,-1.133063734,-0.022287863,-1.719627607,-0.687575667,-0.369754603,-0.301084267,-0.28105828,-0.984068028,-0.169042574,-1.591898644,-0.859978327,-1.789595824,-1.534145695,-0.144919954,-0.05932089,-1.455895808,-0.874844045,-1.117530201,-0.742296333,-1.23132985,-2.529638877,-1.993439321,-0.11512841,-0.275351404,-1.671740629,-0.89341929,0.023173961,-1.615508662,-0.710028156,-1.29477637,-0.937535697,-1.241052343,-0.670836709,-1.763282477,-0.02327005,-1.334566459,-1.592319648,-0.375645754,-0.717042269,-0.446755135,-1.66958661,-0.856152539,-1.140716665,-1.570804753,-0.774632212,-0.021426066,0.095891449,-0.92543618,-1.315220545,-1.274542081,-1.575283579,-0.312119586,-1.012986789,-1.963813244,-0.198145444,0,-0.670681935,-1.356336516
-0.81872267,-0.130272383,-0.212129483,-0.32680042,-1.905082301,-0.508631383,-0.24480138,-1.101297373,-1.772302574,-1.244836337,-1.148146369,-1.864227478,-1.831501129,-1.320293993,-0.061963265,-1.957781862,-0.96106942,-1.838544391,-1.051328389,-1.160351247,-1.11241525,-0.117552322,-1.015478897,-0.901511922,-1.263579885,-1.830446199,-0.982251819,-0.170474762,-0.191604326,-0.570270047,-0.197491568,-1.696738248,-0.490866589,-1.10780051,-1.393142222,-1.759068338,-1.157369916,-0.124421638,-1.725219233,-0.641148654,-0.419587318,-0.293142731,-0.297655235,-0.981786084,-0.16412806,-1.671862058,-0.849346579,-1.788971798,-1.600069868,-0.204896933,-0.099048639,-1.509278059,-0.864556927,-1.14894838,-0.855787195,-1.31162279,-2.600486599,-2.026667505,-0.162973966,-0.310842693,-1.765911,-1.103918958,-0.01757223,-1.69322546,-0.740871431,-1.301918684,-0.961900224,-1.332371513,-0.754524517,-1.789242638,-0.150283397,-1.429386988,-1.748197982,-0.369834325,-0.711682509,-0.540427212,-1.672993147,-0.882079229,-1.144435226,-1.642323258,-0.824460893,-0.090905725,0.06030297,-0.939106549,-1.357561534,-1.276301786,-1.652655753,-0.370146408,-1.072888322,-1.994419481,-0.252464144,0,-0.95994602,-1.469009124
-0.833854752,-0.139361717,-0.279723708,-0.305986644,-1.927565051,-0.514607034,-0.306304713,-1.105708652,-1.844644729,-1.23931247,-1.18089017,-1.958602055,-1.924203189,-1.347617553,-0.089568936,-1.962184495,-1.024187584,-1.834356315,-1.108583871,-1.193788549,-1.100749167,-0.17046736,-0.967406673,-0.96067675,-1.370166121,-1.907863298,-1.013990673,-0.198751376,-0.259019946,-0.60277016,-0.264437344,-1.714108586,-0.547563426,-1.14197247,-1.482291807,-1.761117772,-1.171588962,-0.155820371,-1.789341018,-0.682513862,-0.478267866,-0.368651066,-0.344809862,-1.213028445,-0.184027946,-1.714818213,-0.850927763,-1.907679642,-1.6421924,-0.316069036,-0.149783647,-1.642461139,-0.869702884,-1.215736936,-0.83439892,-1.404220471,-2.676462666,-2.055763557,-0.2345279,-0.406569026,-1.912284846,-1.277631036,-0.057748113,-1.713197065,-0.774257155,-1.354746356,-1.116376942,-1.408974771,-0.831661066,-1.815083033,-0.2459842,-1.493524059,-1.761348967,-0.374497621,-0.820232487,-0.581289576,-1.652895571,-0.866802571,-1.145810382,-1.590526303,-0.879785367,-0.116296014,-0.003309622,-0.998302054,-1.450236036,-1.308186115,-1.736928195,-0.417462007,-1.138041626,-1.84023506,-0.320824314,0,-1.026083805,-1.611113309
-0.843025201,-0.202477973,-0.298480668,-0.286150651,-1.89515101,-0.523342951,-0.318900619,-1.146644413,-1.886915124,-1.335590665,-1.270169671,-1.971878124,-1.894691075,-1.320661414,-0.109575616,-1.942965412,-1.103378994,-1.791924686,-1.185449999,-1.240725683,-1.110460515,-0.17270331,-1.365510327,-0.993052347,-1.551135499,-1.878553313,-1.065409067,-0.204116606,-0.270695474,-0.669932153,-0.286457443,-1.742499899,-0.578469264,-1.169957709,-1.492377752,-1.753452822,-1.18070621,-0.168889118,-1.786734127,-0.679784285,-0.481949428,-0.429109028,-0.3583652,-1.298900871,-0.188719243,-1.762100162,-0.866077541,-2.040423536,-1.681063156,-0.328574043,-0.164666306,-1.693615636,-0.946010662,-1.232104218,-0.844697587,-1.437008535,-2.65781101,-2.086705994,-0.264169338,-0.380103404,-1.958996404,-1.315341531,-0.063570784,-1.754877678,-0.78711372,-1.41404932,-1.293201873,-1.456240286,-0.82875104,-1.823569101,-0.354603922,-1.493300454,-1.901987944,-0.415741657,-0.979975114,-0.588883247,-1.690979043,-0.840333089,-1.142618583,-1.73803702,-0.907837872,-0.125280622,-0.026632126,-1.068890465,-1.41688126,-1.375098838,-1.752185267,-0.472236622,-1.125118677,-1.891660714,-0.323821916,0,-1.066516013,-1.733538369
-0.835798176,-0.223791814,-0.163668886,-0.286576798,-1.934868429,-0.502918458,-0.195086609,-1.138781128,-1.812682305,-1.497130731,-1.208162247,-1.885764356,-1.903150881,-1.211269401,-0.118376729,-1.960991094,-1.101396806,-1.830240243,-1.213568067,-1.34070967,-1.089573182,-0.044822702,-1.310004167,-1.072556676,-1.491408687,-1.893881345,-1.040487799,-0.105707039,-0.147905674,-0.693085687,-0.151274506,-1.667042613,-0.527830439,-1.329871199,-1.463035774,-1.719752005,-1.180908721,-0.065374663,-1.786140753,-0.649462307,-0.371241524,-0.361944435,-0.226723499,-1.20504241,-0.038537543,-1.725201933,-0.827842376,-1.996834675,-1.718433964,-0.47671131,-0.021505139,-1.666921612,-1.029338807,-1.121499365,-1.033569275,-1.35254349,-2.655800606,-2.079162641,-0.141008098,-0.305979614,-1.870411884,-1.475060172,-0.00430228,-1.779278555,-0.799603413,-1.404363668,-1.269996773,-1.498102174,-0.693572169,-1.804290247,-0.470847282,-1.375401026,-2.174682766,-0.447874175,-0.957499778,-0.466564003,-1.686512024,-0.786252275,-1.120805008,-1.669214904,-0.924198944,-0.02556433,0.108075214,-1.194478892,-1.601005508,-1.358095936,-1.64128207,-0.68470605,-1.10234778,-1.876695201,-0.254617733,0,-0.994038679,-1.897372531
-0.85010686,-0.235518977,-0.087222436,-0.275856374,-1.918427617,-0.483030008,-0.121867887,-1.085986184,-1.779139644,-1.487157324,-1.094950391,-1.85324155,-1.960694958,-1.204722451,-0.087622117,-1.960481364,-1.05877118,-1.900798421,-1.226856663,-1.280748414,-1.111559377,0.027334459,-1.362028624,-1.145527944,-1.415420501,-1.900823922,-1.108567895,-0.033038077,-0.088603422,-0.742419307,-0.079743538,-1.752116885,-0.484647684,-1.372344212,-1.635072226,-1.804185329,-1.177201797,0.049403248,-1.767757339,-0.878385616,-0.320422542,-0.310783773,-0.148525576,-1.153592482,0.023265515,-1.720145793,-0.751083298,-1.926997246,-1.689048092,-0.467793656,0.04921449,-1.832025863,-0.99928998,-1.037106256,-1.022558884,-1.334093746,-2.690509494,-2.094058455,-0.078909763,-0.2108794,-1.83588439,-1.524962322,0.050420888,-1.796839633,-0.828807214,-1.360756582,-1.275731263,-1.483507462,-0.620283876,-1.796328572,-0.517819688,-1.329275034,-2.07862317,-0.424559337,-0.874926255,-0.385967912,-1.695680351,-0.751623493,-1.105723374,-1.619423424,-0.909293681,0.03643346,0.181577167,-1.298992872,-1.778305635,-1.31826571,-1.604988884,-0.711248602,-1.071102842,-1.708059888,-0.183987725,0,-0.920104209,-1.797700496
-0.943836005,-0.175893206,-0.085774127,-0.296560998,-1.917743369,-0.485319567,-0.116150942,-1.068065876,-1.805271028,-1.500995489,-1.009215168,-1.850818827,-2.018332024,-1.274912411,-0.051717999,-1.89875693,-1.026283369,-1.878148074,-1.232277292,-1.338694427,-1.143954708,0.021945381,-1.435125103,-1.213771668,-1.390694004,-1.930746172,-1.168735808,0.01260625,-0.082111119,-0.715749329,-0.07714753,-1.781421993,-0.450057989,-1.369148888,-1.593895358,-1.735957763,-1.238963417,0.057555035,-1.779628119,-0.957586157,-0.300731431,-0.259426741,-0.133625557,-1.119703007,0.075779278,-1.743771275,-0.654189573,-1.897277658,-1.701761592,-0.549387599,0.070975084,-1.876523327,-1.001458824,-1.014035489,-0.968649417,-1.298909164,-2.732526563,-2.060628845,-0.081695078,-0.192167096,-1.868855177,-1.590788214,0.053187141,-1.778900134,-0.930367014,-1.333538191,-1.286622303,-1.464808305,-0.580736965,-1.793597154,-0.55273661,-1.375422426,-1.915592831,-0.380664753,-0.886622514,-0.343847304,-1.711634591,-0.709655992,-1.077666329,-1.575807735,-0.870302852,0.059021764,0.183661758,-1.373010214,-1.844208377,-1.268334697,-1.604046056,-0.772891589,-1.09061505,-1.734451993,-0.126987338,0,-0.904463339,-1.622164483
-1.009692538,-0.107768273,-0.116755457,-0.297070051,-1.920654789,-0.469550941,-0.140879072,-1.043950643,-1.879468545,-1.527381811,-0.984434074,-1.890610248,-2.042439725,-1.362034709,-0.041069874,-1.956198492,-1.001036767,-1.866426708,-1.266089906,-1.346032116,-1.127187843,-0.018557132,-1.377674745,-1.225327774,-1.432793083,-1.953110516,-1.174175317,0.020704561,-0.109882981,-0.717869312,-0.109472195,-1.816316258,-0.464336325,-1.378967197,-1.656226337,-1.753363518,-1.315441343,-0.008108734,-1.81811481,-1.007575337,-0.310742896,-0.2967724,-0.144531661,-1.09044691,0.043513449,-1.790839974,-0.594318204,-1.911316982,-1.862692148,-0.574322824,0.066154393,-1.919274006,-1.00061709,-1.036082118,-0.918195554,-1.324808817,-2.651562439,-2.093892342,-0.118530532,-0.234766274,-1.929997968,-1.682825396,0.026246739,-1.803046388,-0.966758787,-1.384888095,-1.278360855,-1.452229117,-0.576808972,-1.831721267,-0.565926373,-1.419772602,-2.008158371,-0.342216929,-0.912734179,-0.33037076,-1.744922858,-0.68724876,-1.077556192,-1.433710512,-1.235585568,0.050272071,0.136642191,-1.445849739,-1.946315122,-1.235171587,-1.65345434,-0.822293264,-1.055892298,-1.867855291,-0.148455334,0,-0.923799525,-1.632106214
