Algeria,Australia,Austria,"Bahamas, The",Bangladesh,Barbados,Belgium,Belize,Benin,Bolivia,Botswana,Burkina Faso,Burundi,Cameroon,Canada,Chad,Chile,China,Colombia,"Congo, Rep.",Costa Rica,Denmark,Dominican Republic,Ecuador,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Germany,Ghana,Greece,Guatemala,Guyana,Haiti,Honduras,Iceland,India,"Iran, Islamic Rep.",Ireland,Israel,Italy,Jamaica,Japan,Kenya,"Korea, Rep.",Lesotho,Liberia,Libya,Luxembourg,Madagascar,Malaysia,Mauritius,Mexico,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Niger,Nigeria,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Philippines,Portugal,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Singapore,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tanzania,Thailand,Togo,Trinidad and Tobago,Turkiye,Uganda,United Kingdom,United States,Uruguay,Zambia
2259.724366,10208.65201,10869.54649,5967.767886,216.109852,3992.036338,12864.00257,1363.840218,366.5295266,775.8542123,1130.315971,278.195452,213.2534354,783.4101454,11208.20274,234.3349607,2531.573261,194.8047222,1275.996593,932.508546,2001.176738,13883.88714,1174.693353,2197.867369,905.4618263,200.6722375,1865.734408,11223.93756,12738.52005,5713.207359,12138.3081,374.6427352,5893.661893,1143.440402,775.1459824,245.06453,1050.336302,14821.81509,267.39522,2449.653401,6372.437775,6511.034017,8456.918974,1254.657765,9668.746264,448.8330243,1715.4224,306.5646945,442.3585618,13823.08316,16531.1149,581.3281373,1852.96365,1187.351571,3036.356114,1097.664795,31.02348536,124.7347084,13791.86226,7467.168038,406.3587875,880.0619837,15772.24091,293.3918898,2357.750154,819.9620894,1444.694522,761.0166543,3368.366669,239.1153863,16176.20447,790.7103565,326.7954586,4928.139118,3034.660366,6208.578019,269.3199617,1588.492453,766.0991778,429.0219727,2119.367016,17097.83265,19393.88055,1467.860216,607.7946167,707.3700142,565.4597306,5528.946469,1561.014686,93.69222855,10032.06208,12574.79151,3440.528158,678.7749004
2291.756101,11853.51382,9385.249064,6257.78659,235.0383907,4374.85175,10622.80248,1318.127065,327.5650353,985.5871896,1092.664572,249.2854633,215.7876028,748.7713983,12379.03686,198.8870058,2965.37426,197.0714745,1358.485452,1065.741616,1057.416332,12081.80105,1284.789552,2611.253278,926.2667351,209.6009454,1870.376414,10926.81797,11116.86106,5023.083663,10209.07312,345.7345198,5380.26762,1217.26402,731.5215448,256.8314938,1038.031037,15137.25384,271.4261492,2482.920485,5986.154109,6756.311206,7622.833328,1374.942119,10583.12789,408.3466712,1883.45598,299.9569839,425.4504471,11688.36072,13837.12998,516.9081956,1843.349369,1180.840709,3810.247971,874.7869263,32.57102238,142.492984,11520.44787,7813.887543,340.9996972,2187.886436,15512.5067,333.4583921,2607.18005,788.3033453,1778.053821,815.2160842,3245.975214,258.5577578,17258.63631,699.909857,324.3792924,5596.585977,3080.833019,5371.166436,290.5367445,1883.195327,943.5770005,495.4863586,2365.24867,15586.43008,17665.0139,1686.094859,680.2608643,745.7320487,464.4871549,6118.941041,1582.419075,98.59507365,9599.306222,13976.10539,3725.003216,679.3081481
2260.347524,12778.92792,9410.347257,6797.830965,209.1957418,4552.944471,9343.8611,1195.508972,312.6932125,934.7813827,992.1180515,239.6194956,220.1570099,730.7688952,12527.31353,180.4890555,1653.986333,203.3349195,1421.921688,1130.258493,1021.892737,11804.43289,1374.468639,2324.829121,847.3124436,212.2888617,1763.83774,10938.12206,10501.60913,4582.163847,9913.737642,320.6994116,5579.234615,1200.249234,618.2348497,250.8130754,1062.469765,13711.73627,275.2660859,2963.49806,6160.638293,7215.992059,7556.523437,1497.311933,9779.974906,369.3870535,1992.516778,234.3065829,421.9243779,10338.56731,12590.9768,505.2246202,1925.46784,1101.159205,2612.666524,847.3258667,42.63256246,146.5348732,11072.65845,7656.475732,307.354577,1844.849844,15224.89391,349.8417623,2814.181852,732.1565361,1666.650808,828.5676462,3079.949566,248.9418067,13680.76127,668.0575173,369.0291438,6077.634241,2769.096212,5159.708645,308.8827846,2010.146801,1043.911422,387.7712097,2425.203028,13738.9723,17999.96926,1713.736846,698.4893188,767.0757148,383.792722,7034.945354,1400.856099,156.8798157,9146.077357,14433.78773,3081.047394,635.3950077
2359.593264,11515.62292,9537.40742,7324.186554,193.4093731,4818.683873,8846.234298,1231.012451,262.5773397,884.552229,1105.130206,212.4869881,229.1177255,743.4740688,13477.10317,171.308123,1700.162365,225.4319289,1381.120048,1074.505323,1199.898659,11857.89214,1499.964293,1950.059651,847.1882682,229.6749438,1619.227977,10497.48,9998.975219,4181.092459,9864.34494,312.4795285,5019.878771,1212.716559,628.6625589,270.7020095,1081.90693,11671.80923,292.6446472,3551.494647,5915.241772,7914.383429,7832.575387,1620.96536,10652.01472,330.9007565,2198.939291,252.6899794,390.382149,9697.569144,12374.03042,481.1514055,2123.258597,1103.091246,2166.569489,758.4675903,39.0007734,146.1814659,10680.35904,7598.312039,266.4703045,1223.603921,14927.51748,315.0172659,2822.853811,775.6059539,1696.913066,723.0832567,2735.491066,252.5324431,10997.05562,578.3261494,277.5631683,6633.236674,3019.098684,4478.500286,330.0400705,2039.297513,1114.614252,354.1902161,2328.621619,12608.22915,17859.23237,1788.353088,682.3359985,822.7313241,345.8629692,6628.471757,1314.230362,157.4491559,8691.518813,15543.89372,1704.56591,527.8988234
2510.036833,12421.47387,8991.06504,8463.464999,202.2878488,5235.134119,8457.268803,1342.227691,244.8443675,986.7846311,1128.871937,188.3357611,203.85983,768.9839825,13930.47455,186.7885936,1619.374375,250.713969,1333.370911,1095.837852,1357.643297,11562.91908,1845.560023,1874.381963,730.0770983,211.6759652,1657.845953,10833.86629,9430.069648,4273.312832,9313.169412,330.6939586,4852.565667,1234.702641,563.953167,296.7680033,1153.309541,11959.54001,278.0954152,3556.485029,5692.027386,7326.284523,7739.715284,1048.350246,11207.45235,330.1540534,2413.276501,211.7654983,390.2495821,8269.244073,12126.9392,390.0081728,2311.170377,1041.832524,2506.893747,675.0164795,36.06385773,150.5813858,9977.160217,6713.760131,209.5318276,903.4493516,14989.48577,331.3887658,2879.238835,756.4643928,1309.658013,667.6672523,2522.747476,262.0908223,9717.412683,549.5545243,296.610062,7228.317584,2590.01548,4489.988939,380.7494424,2326.656529,1223.839496,439.5502625,2258.132806,13099.02083,16991.24588,1718.829476,607.1539307,842.0710395,313.7665564,6547.459781,1245.928788,247.3430926,8179.194441,17121.22548,1612.31926,419.2002546
2617.725449,11441.1933,9172.09676,9436.232744,232.1658218,5465.203582,8750.818513,1301.082642,236.6105861,842.0902334,978.9930857,194.5678909,232.4118246,871.5411186,14170.12494,207.9619512,1437.375712,294.4588485,1189.869402,1047.667839,1414.128192,12253.10021,786.0297222,1853.091863,512.6415424,241.2103741,1568.7012,11398.10595,9778.085305,3899.573788,9429.569217,329.95096,4813.711205,1233.080944,586.9100459,321.7336406,1202.93756,12361.18704,297.9992487,3812.10637,6011.735546,6789.538693,7990.686566,916.3226567,11809.46035,315.390882,2482.399956,166.1597231,380.0897343,8558.058537,12481.96584,369.2611854,2065.088335,1068.673593,2607.664465,666.7158203,40.09943796,149.363094,9926.129971,7600.565242,200.4254612,882.2827027,15753.55277,320.67981,2977.388971,702.9104109,928.4262743,637.8359734,2705.193002,273.7664313,8060.191757,585.6644209,228.5395414,7001.766748,1909.739722,4699.655764,371.5097814,2634.002643,1313.199513,333.3590698,2254.817639,13666.85775,17152.09485,1556.17642,698.3417969,768.8656481,322.6740414,6147.700102,1367.195496,234.0391872,8652.216542,18236.82773,1564.707926,336.830125
2783.431023,11391.65505,13083.07266,9858.295721,221.5696191,5990.460128,12170.0407,1385.471231,293.5596321,607.0827722,1180.908893,248.0928701,238.3569167,1172.490248,14521.18008,208.6351825,1510.016989,281.9281209,1166.300797,870.2999734,1551.691775,17201.08881,934.0593513,1613.696898,615.1343127,243.499063,1737.364089,14951.04679,13566.66077,3866.276881,13461.831,410.5216132,5656.505332,892.2929065,656.6634824,363.6023107,1257.389759,16406.04795,312.0598439,4274.80524,8112.171363,8287.703492,11315.01518,1189.422719,17451.83494,359.0680033,2834.89034,192.1073429,364.7074844,6363.079216,18149.86925,410.6360064,1782.54225,1441.714528,1765.262783,846.9058838,42.12869761,158.9337016,13783.85011,9427.55394,257.0199032,638.7316957,18883.23335,317.0297983,3025.347225,751.6488052,1024.193149,605.7263486,3861.948433,299.2873721,6449.578867,803.4847037,127.5545261,6799.930363,2103.191712,6513.503286,392.5243612,3119.797207,1444.021409,408.4733582,2270.804237,17981.01941,24459.85363,1218.708242,477.9397278,836.1471302,435.6087245,3941.600372,1506.714127,253.3281425,10611.11221,19071.22719,1933.481231,241.5494809
2829.879274,11650.80119,16392.76952,10617.40527,241.7949085,6589.383144,15135.85231,1643.949927,333.2231189,652.7057594,1610.365203,280.9527058,219.3713007,1250.697604,16377.69021,219.4792181,1750.264117,251.811957,1188.551777,1049.84783,1549.941803,21340.72786,870.6550929,1433.332092,769.9353635,251.7971713,1560.654875,18571.05993,16340.72597,3626.230965,16677.51079,354.6156384,6564.884427,850.2185121,464.3041261,314.549819,1332.517655,22453.18823,342.0719237,2651.484868,9581.913086,9796.952352,14234.72864,1406.961736,21141.7184,381.7059903,3554.606009,237.0705037,410.0404266,6824.661462,22443.43146,295.018266,2007.17292,1839.791096,1902.461534,928.4981079,40.86629583,161.3675903,16709.55968,12330.91683,292.40876,598.2909687,22505.86226,319.9153919,2972.128314,873.2089676,1062.046435,658.2142903,4803.866095,320.292078,6082.121344,938.8576175,167.2059003,7539.029302,2672.689538,8239.613802,403.8261309,3550.187379,1570.910328,481.339325,2469.341114,21792.55891,30440.51082,1006.657879,333.8636475,962.9617992,497.6063162,3896.064758,1701.264841,392.4776053,13118.58653,20038.9411,2408.632599,319.2818804
2437.377923,14284.52069,17578.61894,10819.26804,258.8305348,7005.502809,16391.09383,1831.019639,335.3419231,675.7147352,2096.735802,301.9534887,205.3179193,1137.225182,19012.57233,270.3970496,2015.930285,283.5376952,1254.531546,981.893651,1537.461223,22527.04673,786.3823823,1309.143369,871.0937029,251.1959926,1452.18876,22047.79332,17727.51083,4121.065808,17931.28232,354.2720462,7598.028005,915.3980653,545.5863801,393.3698914,1235.365479,24451.97332,355.7384098,2361.417198,10715.87028,11785.06921,15744.66126,1625.757895,25499.88117,386.3559486,4748.640644,271.3196326,425.5957541,6044.65167,25219.35428,284.6004297,2134.519145,2073.592388,2302.021954,1076.092773,39.64900708,186.2644755,17744.50138,13759.15563,289.6701214,549.5037556,24207.28147,356.3352154,2514.153933,993.62083,1106.971847,734.4302796,5623.697,344.478185,5998.218313,902.2698643,260.1153897,8914.441226,2780.586207,9703.123838,416.0296538,4179.293642,1790.987478,568.7889404,2887.061439,24534.69382,32690.43027,907.295307,306.5847168,1154.580403,532.9823437,3612.994412,1738.376445,394.7361363,15987.16808,21417.01193,2668.674091,511.2041795
2235.268122,17834.21056,17468.94614,11533.26076,274.3894278,7753.02566,16525.06174,2065.720309,301.6849308,678.6414025,2369.125618,294.0437243,207.2919501,993.0873595,20794.68223,252.8271273,2280.265388,310.8819124,1238.603367,1030.362506,1705.431654,21901.05475,957.9600927,1360.486975,843.779714,254.6312174,1530.547617,23973.23948,17747.5816,4376.761185,17764.37645,348.9039649,7846.678122,955.1134609,504.4240975,403.3282524,1105.556187,22434.34677,347.46203,2246.19174,11175.8166,11541.16799,16386.66221,1855.988377,25265.94876,369.9833572,5817.065567,280.3529827,313.5667571,6091.150623,26618.06958,275.2632012,2282.469971,2103.488027,2759.475919,1081.965332,50.98703095,184.1322334,17397.69168,13312.38559,268.5494053,474.4569001,24281.13041,359.7292686,2467.535308,942.1804042,1204.096538,806.8504494,6056.381028,336.7447982,6210.059897,869.4599074,224.3178284,10394.539,2794.396212,10681.9712,411.2437445,4696.490011,1911.90351,841.9991455,1328.729552,25662.22059,31308.65083,818.7897997,258.646759,1329.996738,507.6540119,3441.35043,2009.69367,309.8609669,16239.2822,22857.15443,2724.097434,533.2316867
2431.55136,18248.94071,21680.98962,11696.51137,294.9046524,7772.808757,20600.37528,2988.60482,381.8050563,685.9427177,2825.724781,339.6318225,206.4449283,1077.333545,21525.86114,298.3670792,2483.560863,317.884673,1467.547436,1173.264436,1808.495959,26891.44645,992.2389642,1458.326346,1305.24553,260.6400616,1713.180631,28364.64508,21865.55525,6055.060247,22303.96133,381.2464191,9600.185235,845.3148767,530.8175214,447.0962904,974.2294838,25384.91502,368.7497594,2237.052261,14031.30257,13232.05912,20825.78422,1919.795357,25801.39504,370.1001417,6609.997283,331.5237678,173.9578256,6821.878587,33465.47821,330.8435257,2513.241395,2539.928465,3196.920061,1219.424438,52.74855591,184.9236455,21290.86038,13663.02162,419.6038954,567.5179022,28242.9814,346.6685155,2626.14328,833.0536633,1431.8392,820.4871803,7884.617988,348.3878303,7349.697935,980.7545621,150.1932538,11861.75616,3160.878161,13804.87679,466.8976566,5346.472568,2136.839516,1301.819092,940.9917724,30593.67244,39574.53981,991.9113749,242.7209473,1545.276982,593.3170669,4001.522284,2773.269759,244.7540723,19095.467,23888.60001,2983.244161,427.4064535
1749.286087,18859.40796,22410.91177,11269.95052,283.3822853,7789.391377,21041.66065,3190.868365,375.2919957,737.521442,2855.948427,334.759654,208.6567234,1005.304363,21846.79305,310.659553,2790.616555,333.1421454,1491.856728,1110.972104,2221.474653,27011.37746,1349.813234,1589.752174,1299.449393,276.3418006,1763.285964,25484.73929,21675.70609,5349.452012,23357.75773,416.7764291,10188.36978,1011.75899,468.3980223,491.5844312,894.5102094,26802.98952,303.850438,1409.950536,14087.20744,14263.88303,21956.52977,1702.501692,29428.4289,340.8064509,7636.948064,384.9805422,179.4521141,7368.041211,35747.3378,265.7937076,2727.528585,2705.266482,3756.852597,1282.57959,50.8801762,194.8000167,21732.23076,12230.07345,380.5366379,609.3731283,28596.933,382.7514315,2827.558388,948.9851423,1675.713643,821.4522444,8958.985333,255.3675793,7939.296249,935.6383892,178.1790984,14502.37999,3304.828377,14811.90282,516.7693263,5439.809105,2259.528548,1678.093262,1077.212661,31822.80385,39544.49468,1015.611637,275.3167725,1751.068652,567.0791825,4159.070729,2730.143381,182.7944663,19900.72665,24342.2589,3574.111621,428.5014948
1794.623507,18623.79174,24880.16412,11025.87836,284.9669776,7520.79074,23372.61917,3644.922823,310.6237201,763.2606089,2918.617005,349.7081076,188.5811668,995.3144925,20950.33053,298.5673114,3333.958668,366.4606923,1720.568558,1163.534935,2578.025038,29569.66036,1562.522047,1657.85872,1388.681941,206.7771141,1947.503986,22319.05946,23814.22737,5390.536787,26438.23039,395.0426355,11176.45842,1093.956561,501.4418045,313.2387877,924.9596767,27124.27454,317.5587387,1066.741938,15714.38475,15421.12456,23243.47453,1452.188387,31992.79021,332.9499104,8126.662062,447.1491696,108.8849113,7623.941557,39570.86157,294.293435,3193.635381,3013.237063,4272.788726,1317.329956,58.47915089,164.2928089,23904.03742,11793.13924,380.1490696,519.6358475,30523.98506,399.4655807,3148.447531,1058.341136,1673.448372,936.148564,10810.56651,264.9826101,7932.704937,974.3312056,158.0814981,16136.24054,3519.001296,16112.18892,550.5424443,5920.220954,2454.960657,263.002655,964.4332465,32800.98269,40713.68815,1007.384988,249.212326,1957.405423,582.2380433,4231.46206,2825.915037,151.9765413,20487.17079,25418.99078,4083.463272,394.0783977
1825.875097,17699.55774,24081.52779,10730.00097,292.4253474,7905.676802,22283.93602,3862.552029,398.6130273,760.1176818,2844.99575,325.1536665,168.9640756,1295.916464,20186.79888,226.9211579,3520.932956,377.3898395,1920.398966,1034.753194,2814.044541,27597.97523,1726.625479,1701.159459,1423.449712,168.2610622,2073.118846,17608.81239,22380.3319,4109.898799,25522.62957,358.6310116,10401.98301,1164.38167,607.7463433,255.6859663,896.2836897,23579.79536,301.5007912,1066.741938,14657.06155,15091.8706,18738.7639,2212.256411,36345.24413,226.5211543,8884.919464,443.16723,75.20732418,6745.930537,40066.72425,312.0789333,3511.532629,3013.833138,6118.525863,1217.429077,75.69151852,172.0966701,23122.41077,13094.34545,332.0622156,551.8929192,27963.69791,412.6753983,3368.202787,1159.13976,1652.804321,938.7622808,9534.656364,249.4105703,7450.662475,898.912999,178.9729971,18290.13011,3461.333911,13339.90856,579.990197,6363.682668,2519.845868,326.7307129,1015.12804,24425.28493,39237.11866,1011.738296,223.4165649,2230.84118,427.1154971,3608.641686,3148.83644,165.4650359,18389.01957,26387.29373,4729.928639,395.7850555
1522.825203,18129.40219,25646.70066,11085.14713,292.0788195,8220.27611,24208.55479,3878.968982,269.7905869,777.4160359,2832.813409,187.8151379,165.5859347,692.8587335,19997.62374,178.9531808,4010.970991,473.4899164,2314.90099,662.8773341,3005.540317,29995.57962,1896.020163,2001.178159,1488.140079,127.6659442,2308.706584,20301.33309,23496.36768,3832.093262,27076.60675,319.6074403,11091.28385,1293.469973,721.6033895,289.5461792,821.2161476,24018.6314,346.2266102,1197.642146,15902.92968,16710.53808,19337.6309,2194.911221,39933.51506,273.5217948,10385.39046,459.6627444,62.20596857,6164.344994,43933.23544,262.1461278,3802.107621,3240.386247,6268.718323,1348.539063,104.6896512,186.5942635,24646.31431,15280.31278,204.1495871,762.3987332,29315.80923,404.6068674,3518.953402,1236.110584,1750.935478,1081.434307,9977.319909,111.9373042,7359.449778,598.1454188,211.338564,21552.41004,3547.951748,13415.287,650.5535615,7027.434091,2540.16918,459.4400635,1419.517938,26083.61439,43091.7771,727.0194574,227.6838989,2502.708649,339.0651548,3801.469548,2240.60879,198.2820513,19709.2381,27694.85342,5478.022002,431.5214724
1466.54468,20448.12197,30325.84958,11447.0179,322.0873898,8451.958599,28413.82644,4011.140031,358.822987,856.3650535,3064.585985,229.83266,168.6271677,822.3632126,20679.63479,209.8925997,5094.393489,609.6043379,2571.46819,771.6139457,3240.711145,35351.36546,2114.0906,2113.263652,1781.708861,136.6680345,2486.98193,26271.59981,26889.42506,4419.790339,31658.34938,370.688085,12959.32429,1424.682543,826.9733705,368.8470858,919.9379933,26633.59138,373.6282357,1585.977937,19158.45648,18916.67362,20664.55227,2621.18197,44197.6191,336.5653496,12564.72437,518.0212392,62.91944351,5396.374227,51032.34964,276.7368025,4405.116764,3648.016496,4225.400448,1455.950317,123.3477612,197.3096505,29258.13435,17400.42018,234.6196048,1302.550052,34875.70433,455.5079732,3524.881271,1004.249699,1968.352487,1222.292515,11781.36185,227.4588749,7588.766444,732.836373,201.3711228,24914.8507,3904.324238,15471.96272,716.8007675,7367.454411,2767.77031,483.7035522,1591.729379,30282.96392,50113.83212,796.223593,256.9252319,2848.622456,432.0789697,4074.877287,2855.040554,278.3166132,23168.95296,28690.8757,6014.918523,438.3837208
1619.532412,22021.78391,29809.07677,11835.38679,387.3848632,8994.324063,27489.55518,4042.152482,380.5882869,925.8492101,3063.994566,243.5269235,146.5361825,817.1840942,21296.97235,223.2333882,5376.770578,709.4158882,2652.103881,902.0457464,3194.112988,35650.71409,2276.69841,2142.328641,1646.223536,147.6253179,2672.43577,25783.45049,26870.28524,4948.752872,30485.86655,388.5332803,13749.11511,1487.607658,936.0843257,374.1693335,872.5818384,27614.87703,399.5773122,1954.660752,20835.89771,20116.98187,23081.60468,2919.147789,39150.03963,436.1957036,13402.9946,483.9207512,72.32416471,5785.110699,50444.35912,344.4649474,4874.819725,3951.944946,4718.574086,1585.722778,141.0198439,198.4544651,29006.80945,18794.43604,237.0149628,1673.906146,37321.9742,461.4002095,3561.290458,1077.188504,2077.484829,1334.105656,12185.0914,205.8421295,8174.147066,741.7616647,216.6234189,26232.8661,3654.927598,16109.0844,758.5064169,7748.670312,2900.419012,307.8217468,1940.75444,32998.96816,48092.6433,937.4991037,311.6945801,3039.892139,465.4881864,4385.0987,3009.670164,284.4568035,24406.4003,29967.71272,6358.162863,404.0904611
1634.46741,23646.62305,26705.4786,20415.70617,395.3180524,9491.475434,24820.93805,4011.022238,355.1420718,973.9626322,3100.165638,224.6113439,164.2334457,773.9271467,21901.56285,207.3165614,5789.705048,781.7425612,2860.04094,807.8918994,3373.410585,32835.93994,2456.105936,2349.218685,1732.769916,143.7700419,2597.929256,24691.87281,24226.88469,4514.994088,26964.04947,377.240426,13427.83251,1649.001602,991.9585514,421.8416418,933.7557079,27919.1855,414.8986797,1823.274514,22551.11391,20366.58291,21829.34582,3287.746755,35638.23196,462.4045369,12398.49045,505.9388033,124.1555826,6262.491035,46641.64088,288.4493808,4706.314913,3695.736688,5617.430244,1416.900391,107.3929672,211.5619465,26700.53713,17474.18703,218.2461447,1765.078768,36629.0309,441.7549177,3775.571536,995.1972595,2068.208378,1294.111972,11575.50711,241.5055329,8323.831218,667.4532061,193.0108126,26375.86537,3731.431561,14730.79718,818.0287965,8581.668224,3043.249417,388.8051147,2045.593051,30312.4876,41584.44178,960.3573427,361.2211609,2462.41438,460.9244587,4352.812595,3098.668013,286.5727449,26766.00562,31459.12997,7386.511422,471.1721205
1610.302978,21479.1142,27361.87511,21665.38786,401.9651801,10685.26061,25338.44329,4119.706172,372.8773466,1025.409495,2893.328745,250.4139444,148.0895426,789.274292,21024.58507,226.328772,5467.188187,828.594691,2595.543011,663.7287028,3580.933885,33368.14242,2616.745452,2293.655828,1568.816899,126.9198486,2031.025013,26009.26949,24971.57449,3705.818089,27289.05936,399.7962011,13472.13761,1755.849582,948.2404227,461.9714389,1009.162705,31030.0536,412.5093541,1737.700033,24294.85477,20106.63075,22318.1373,3410.42776,32423.75561,483.7086323,8281.719483,467.5879619,136.2521711,5471.09201,47445.38108,288.6359375,3308.835653,3641.621426,5882.421434,1658.471802,145.103666,204.876507,27885.80838,14738.44557,243.5175496,1871.756057,34803.46341,427.5063275,4012.054165,737.413721,1880.893165,1000.00669,12199.20639,251.3496873,7169.368329,702.4336928,151.0965629,21829.27378,3336.439647,15394.35146,850.9856552,8665.09906,3272.618741,366.1159058,2405.744246,30596.5272,42680.58673,980.6654602,383.9384155,1841.042955,474.092493,4569.652412,4433.358285,292.1694813,28274.50451,32853.67259,7780.678349,377.4626156
1602.864915,20712.66978,27183.47593,23991.7008,404.4861431,11173.94937,25252.80191,4283.477069,541.7022593,981.7529782,3242.137335,293.8874446,130.7530239,786.8458877,22315.24667,192.269472,4980.010802,873.2923363,2236.072926,780.5897055,3653.754208,33440.79481,2631.743565,1582.758607,1519.966708,121.2856049,2351.722429,26186.19001,24678.39106,3758.161936,26734.94254,402.4714032,13249.66332,1619.510736,916.5463808,506.0002117,990.297834,32381.62524,440.9620652,1765.783643,26338.10775,19742.52039,22005.05454,3423.008614,36610.16832,430.3672599,10672.44756,457.7043425,158.3658423,7112.668067,50872.44927,271.9429822,3538.362993,3745.696251,6552.661075,1627.135132,188.4219481,208.4914738,28272.64325,15322.22383,225.953508,494.1292273,36393.29275,420.6826106,4121.56222,653.4081341,1758.260193,1123.163571,12475.29177,269.3158544,7697.271953,695.5520829,149.5783419,21796.63739,3267.939169,15720.6405,838.5636427,9070.73027,3427.505755,339.2810364,1883.889099,30941.07936,41695.69129,998.2815744,390.2842712,2028.568771,457.396095,5130.866071,4057.821274,257.6785777,28762.09136,34515.38131,7314.490951,353.8302338
1780.376063,21870.41597,24625.60072,24849.60648,413.1001853,11560.2459,23098.88651,4720.168218,502.9979811,977.3294177,3351.696517,249.8020757,138.0046172,700.1632362,24271.00206,168.1176582,5102.968761,959.3604314,2546.850214,1029.960689,3773.033793,30743.54768,2845.846553,1389.097929,1686.657532,122.9616597,2015.857496,24345.91482,22416.42542,3991.157151,23694.76048,253.3802932,12072.92936,1664.307748,938.893298,814.9979335,1079.605666,32096.37226,442.0353304,1672.022876,26334.56721,21630.74761,20137.59122,3447.303896,39169.35957,411.8213521,12257.02066,443.9499497,301.8764697,7424.347866,48659.59888,285.4664632,4087.562593,3981.983432,7581.845641,1492.377075,195.5509957,223.7118919,26214.49855,13641.10272,192.8777258,563.0470862,38178.23688,644.457157,4099.00654,639.2791999,1728.340743,1073.264436,11526.37207,255.0974129,8795.261669,619.6421235,138.7139416,23852.83895,3241.661396,14749.68742,869.7534886,9275.989746,3760.080457,378.1575012,1978.446611,29624.91267,38865.02194,1161.237082,399.3254395,2004.107059,420.6936957,6120.942704,4278.263113,257.8296057,28280.92679,36329.97026,6932.478134,364.0261454
1904.215554,19695.72974,24558.76368,25234.14415,410.0485409,11510.04043,23015.07126,4708.294937,508.3474477,930.8756843,3115.679,260.4434731,135.6064758,706.9842173,23822.09621,200.3610081,4610.592695,1053.112314,2465.007012,859.4400125,3941.598643,30751.65435,2953.247844,1800.398365,1481.163082,119.2618573,1964.130204,24967.79252,22449.33969,3844.561349,23628.32721,263.1701414,12549.03689,1550.361747,937.2979922,743.9112627,1118.940894,28897.44394,449.9103137,1902.947639,28282.40988,20909.43036,20500.9544,3502.213118,34406.18246,408.3606087,11561.20717,412.9622962,303.8588056,6465.624913,48440.14202,325.4603011,3941.122666,3908.556949,8009.15834,1500.363403,140.7761639,240.7051592,26896.54811,13882.85683,203.5264889,583.0858388,38601.89764,610.1432316,4084.258536,540.6738896,1630.190846,991.1479821,11734.76497,239.1311285,8337.326449,654.8407274,221.2950856,21699.74149,2867.472497,15369.00116,832.4273196,9973.553451,4066.070638,471.3727722,1711.714461,27247.85773,39638.79111,1209.773292,394.2176819,1889.971411,406.8659572,6592.776648,3100.458999,235.8529749,27906.5695,37133.6204,6331.156602,401.7323159
